ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
7,5,1,426,1,67,2
7,5,2,498,1,99,2
7,5,3,343,1,29,2
7,5,4,482,1,92,2
7,5,5,474,1,88,2
7,5,6,308,1,13,2
7,5,7,343,1,29,2
7,5,8,385,1,48,2
7,5,9,309,1,14,2
7,5,10,387,1,49,2
7,5,11,404,1,57,2
7,5,12,500,1,100,2
7,5,13,303,1,11,2
7,5,14,422,1,65,2
7,5,15,371,1,42,2
7,5,16,450,1,78,2
7,5,17,418,1,63,2
7,5,18,461,1,83,2
7,5,19,430,1,68,2
7,5,20,498,1,99,2
7,5,21,457,1,81,2
7,5,22,491,1,96,2
7,5,23,457,1,81,2
7,5,24,498,1,99,2
7,5,25,406,1,58,2
7,5,26,469,1,86,2
7,5,27,469,1,86,2
7,5,28,458,1,81,2
7,5,29,391,1,51,2
7,5,30,326,1,21,2
7,5,31,472,1,87,2
7,5,32,416,1,62,2
7,5,33,475,1,89,2
7,5,34,471,1,87,2
7,5,35,333,1,25,2
7,5,36,366,1,39,2
7,5,37,343,1,29,2
7,5,38,341,1,28,2
7,5,39,313,1,16,2
7,5,40,432,1,70,2
